"","Référence","Date de la demande","Année de dépôt","Nom du demandeur","Adresse du demandeur","N° rue chantier","Adresse                      du chantier","Section cadastrale","N° parcelle","Surface du terrain (m²)","Nature des travaux envisagés","Date de la décision d'accord","Date de la décision de refus","Date d'affichage en mairie","Tél demandeur"
"17","19B0017 (liée au PC 19B0037 )",2019-06-25,2019,"SCCV Pomotion PICHET","20-24 Avenue Canterane -33608 Pessac Cedex",,"rue Odette Pain/ avenue Léon Blum/ avenue Suzanne Buisson","B","235; 249p; 250p","1326 m²","coque vide en RDC (surface de plancher après travaux 168m²)",,,,
"18","19B0018 (liée au PC 19B0037 )",2019-06-25,2019,"SCCV Pomotion PICHET","20-24 Avenue Canterane -33608 Pessac Cedex",,"rue Odette Pain/ avenue Léon Blum/ avenue Suzanne Buisson","B","235; 249p; 250p","1326 m²","coque vide en RDC  (surface de plancher après travaux 200m²)",,,,
"19","19B0019",2019-07-02,2019,"Sarl Tanger Marché : M. BARGHAOUL","7 Chemin des Filatiers 62223 Sainte -  Catherine","166-168","Galliéni (avenue )","N","11","1735 m²","Transformation d'un magasin de papier peint en magasin alimentaire .",,"43768",,
"20","19B0020",2019-07-04,2019,"OPH BONDY HABITAT: Mme DUFRESNEL","86 avenue Gallieni- BP 8- 93140 BONDY","18","Renoncules (allée des)","Q","41","27128m²","mise en accessibilité du point accueil cité du stade",,,,
"21","19B0021 (liée au PC 19B0043)",2019-07-12,2019,"HOPITAL JEAN VERDIER: WALLON Laure","Avenue du Quatorze Juillet 93140 Bondy",,"Quatorze Juillet (avenue du  )","E","86","29762m²","agrandissement de la surface de consommation de la cafétéria Relais H",,,,
"22","19B0022 (liée au PC 19B0044)",2019-07-16,2019,"RESEAU MOM'ARTRE: Mme MAINGUENE","204 rue de Crimée 75019 Paris","1","République (place de la)","AU","178","18108m²","aménagement d'un local pour centre de loisirs dans la gare de Bondy","43745",,,
"23","19B0023",2019-07-18,2019,"MC DONALD'S France: M. QUELVEN","1 rue Gustave Eiffel 78045 GUYANCOURT","207","Gallieni (avenue)","L","61","8514m²","mise en place d'une protection incendie, détection et extinction automatique du TGBT principal sur le restaurant","43761",,,
"24","19B0024",2019-08-27,2019,"Sarl Zianides : M. BEN AMARA","132 Avenue Galliéni Bondy","132","Galliéni(avenue )          JOE COZ Barbiers","O","30",,"Aménagement d'un local ''Barbier et restauration service à table ''","43825",,,
"25","19B0025 (liée au PCM 13B0043 )",2019-10-08,2019,"Café Plazza des Arts : M. KOCAK","51 Avenue de Lattre de Tassigny Bondy","51","Maréchal de Lattre de Tassigny (avenue )","O","1","512 m²","Aménagement et mise en conformité du sous-sol .",,"43880",,
"26","19B0026",2019-10-18,2019,"CABINET REGNIER: M. REGNIER Jérôme","21 rue Henri Barbusse 93130 Noisy-le-Sec","30","Auguste Pollissard (rue)","J","318","5396 m²","remplacement du système de sécurité incendie de du parking -partie privée au niveau -2",,,,
"27","19B0027 (liée au PC 19B0058)",2019-10-23,2019,"2224 SCN LNC BABEL PROMOTION: TEYSSEDOU  Dominique","50 route de la Reine 92100 Boulogne Billancourt","60-70","Gallieni (avenue)","J","298","5798 m²","commerces en RDC (local livré brut)",,,,
"28","19B0028",2019-10-31,2019,"SASU ZICRECHE : M. ZITOUNI","1 allée de la Paix 93380 Pierrefitte sur Seine","3  D","Hannah HARENDT","0","74",,"Aménagement d'une micro-crèche .","43837",,,
"29","19B0029",2019-11-04,2019,"Sarl Tanger Marché : M. BARGHAOUL","7 Chemin des Filatiers 62223 Sainte -  Catherine","166-168","Galliéni (avenue )","N","11","1735 m²","Transformation d'un magasin de papier peint en magasin alimentaire .","43852",,,
"30","19B0030 (liée au PC 19B0065)",2019-11-15,2019,"SNC COGEDIM PARIS METROPOLE: Mme DARMON MERCIER Johanna","8 Avenue Delcassé 75008 Paris","38 à 48","Maréchal De Lattre de Tassigny (avenue du)","P","164","6250m²","construction d'un ensemble immobilier de 187 logements avec services publics en RDC (centre médical en RDC)",,,,
"31","19B0031 (liée au PC 19B0065)",2019-11-15,2019,"SNC COGEDIM PARIS METROPOLE: Mme DARMON MERCIER Johanna","8 Avenue Delcassé 75008 Paris","38 à 48","Maréchal De Lattre de Tassigny (avenue du)","P","164","6250m²","construction d'un ensemble immobilier de 187 logements avec services publics en RDC (maison de sports et santé en RDC)",,,,
"32","19B0032 (liée au PC 19B0065)",2019-11-15,2019,"SNC COGEDIM PARIS METROPOLE: Mme DARMON MERCIER Johanna","8 Avenue Delcassé 75008 Paris","38 à 48","Maréchal De Lattre de Tassigny (avenue du)","P","164","6250m²","construction d'un ensemble immobilier de 187 logements avec services publics en RDC (micro crèche en RDC)",,,,
"33","19B0033 (liée au PC 19B0065)",2019-11-15,2019,"SNC COGEDIM PARIS METROPOLE: Mme DARMON MERCIER","8 Avenue Delcassé 75008 Paris","38 à 48","Maréchal De Lattre de Tassigny (avenue du)","P","164","6250m²","construction d'un ensemble immobilier de 187 logements avec services publics en RDC (tier- lieux en RDC)",,,,
"34","19B0034",2019-11-22,2019,"GURDWARA-GURU-TEG-BAHADUR-SAHIB : M. SINGH","64-66 Route d'Aulnay Bondy","64-66","Aulnay (Route d'Aulnay )","G","139-140","2685 m²","Centre cultuel et culturel .",,"44057",,
"35","19B0035",2019-11-22,2019,"TCHEUMEO","47 Rue L.A.Blanqui Bondy","7","Frères Darty (Rue des )","P",,,"Réaménagement d'un local commercial en restaurant ''Miam Mia Pasta''","dossier annulé le 05/03/2020","dossier annulé le 05/03/2020",,
"36","19B0036",2019-12-17,2019,"SOCIETE GENERALE: Mme DARGAUD Aurélia","immeuble Ampère E+ rue d'Aubervilliers 75886 Paris cedex 18","29 bis","Auguste Pollissard (rue)","P","95;151;68",,"réaménagement d'une agence bancaire","44008",,,
"37","19B0037 (liée au PC 19B0077)",2019-12-27,2019,"VINCI IMMOBILIER ILE DE France: M. VIAL-COLLET Rémi","59 rue Yves Kermen 92100 Boulogne Billancourt","3 à 7","Liberté (rue de la)","AT","124;125;190","3843m²","commerce au RDC (coque vide activité non définie )",,,,
"38","19B0038",2019-12-30,2019,"Société Anonyme de Cliniques Chirurgicales : M. MIGNEN","L'Arbre du Temps :50 Rue MICHELET","50","Michelet (rue )","AI","150",,"Transformation d'une clinique chirurgicale en résidence hôtellière + cabinet médical",,"43998",,
